Time Flux
1.233 1.9076140496654572
2.587 0.7483784360272486
9.901 1.820314148760867
2.884 1.776250653107541
2.8080000000000003 1.4117716938703169
5.0120000000000005 1.1894179330309804
0.919 1.8329045633002612
3.032 0.9238006220181236
4.166 0.6725023295631033
2.335 0.9461012795025314
5.093 0.5925177764048599
1.989 1.5785604053564384
8.866 1.7174654285930426
4.915 0.967218295449082
4.1290000000000004 0.8352320408536434
5.87 0.9560100882369356
0.482 1.2032101671733069
9.046 1.566670061839005
6.988 0.9168061951373133
3.572 1.436062704454464
8.128 1.8949877471397976
8.632 0.48958055566422365
8.256 1.562305700273194
2.859 1.7975037025503395
5.845 0.7102912879991594
9.256 1.0527649384140767
1.694 1.3139745533830653
6.107 1.2797212296391023
5.521 1.753572503458343
2.579 1.386076589115905
6.671 0.8499782453354006
4.01 0.957516119313104
4.543 1.9251858016360666
6.352 1.6566720805514792
3.9010000000000002 1.5322498412541359
6.2780000000000005 1.8936339058076177
7.899 1.2588619042552467
0.466 0.9335524213774106
1.996 1.5029923182045528
2.3850000000000002 0.0457282451385736
5.6690000000000005 1.4306716428237138
9.731 1.9307717759925112
2.976 1.3472559117846963
3.44 0.6121568687785185
4.155 0.48806000322696386
9.435 0.9980245095254981
6.896 0.7055426319219041
8.507 0.6728671929919284
9.471 0.7917341228742235
0.187 1.9597365012638008
5.28 1.3555006570145074
9.291 1.0606510047289215
8.081 1.9381018557123668
8.744 1.2282167107521833
2.978 1.6099259261732293
0.914 1.6272573473990668
0.095 1.8730757981528985
3.5740000000000003 1.080962845407281
2.702 1.0569665299008348
4.657 1.9131399130953146
4.9 1.3397778394901603
7.642 0.713941777008428
0.917 1.631491156229296
1.052 2.437733482076081
8.531 0.9066964051573303
7.414000000000001 1.3552901977757745
7.596 0.5370959649103576
6.893 0.6881461459820581
7.657 0.4591920034771128
7.908 0.8437516723826499
0.629 0.549072224433926
6.109 1.0972114024305313
6.949 0.4667928817853212
7.28 1.3646277883701905
4.8180000000000005 1.1567194678191726
0.176 1.546760473234994
4.126 0.3176372068945325
8.39 1.175152212396259
1.131 1.969272050393489
0.771 1.2385062331498746
2.765 1.8564917726517614
3.665 1.7245395545601672
2.267 0.7863656262177181
8.019 1.4399851157026027
3.552 1.1845805358981851
1.732 1.6392728169875002
7.934 1.671563474704715
7.3950000000000005 1.3950294122669933
5.008 0.9931897040858475
9.808 1.5792081439358723
5.705 1.2528046029716413
5.428 1.6509034241836946
8.911 1.9158255482700197
7.3180000000000005 1.6199221447928682
8.766 1.2289066416538361
0.34 1.7143351692550495
6.03 0.5166066711299531
6.027 0.6150457186654243
9.629 1.551560061963916
0.627 0.7423668065588963
6.5680000000000005 0.7826499946424005
